type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,year_added,month_added,duration_int,duration_type,year_added_scaled
0,Norm of the North: King Sized Adventure,"Richard Finn, Tim Maltby","Alan Marriott, Andrew Toth, Brian Dobson, Cole Howard, Jennifer Cameron, Jonathan Holmes, Lee Tockar, Lisa Durupt, Maya Kay, Michael Dobson","United States, India, South Korea, China",2019-09-09,2019,10,90 min,"Children & Family Movies, Comedies",2019.0,9.0,90,min,0.05404249988185286
0,Jandino: Whatever it Takes,No Info,Jandino Asporaat,United Kingdom,2016-09-09,2016,9,94 min,Stand-Up Comedy,2016.0,9.0,94,min,0.018623981771731243
1,Transformers Prime,No Info,"Peter Cullen, Sumalee Montano, Frank Welker, Jeffrey Combs, Kevin Michael Richardson, Tania Gunadi, Josh Keaton, Steve Blum, Andy Pessoa, Ernie Hudson, Daran Norris, Will Friedle",United States,2018-09-08,2013,13,1 Season,Kids' TV,2018.0,9.0,1,Season,0.042236327178478986
1,Transformers: Robots in Disguise,No Info,"Will Friedle, Darren Criss, Constance Zimmer, Khary Payton, Mitchell Whitfield, Stuart Allan, Ted McGinley, Peter Cullen",United States,2018-09-08,2016,12,1 Season,Kids' TV,2018.0,9.0,1,Season,0.042236327178478986
0,#realityhigh,Fernando Lebrija,"Nesta Cooper, Kate Walsh, John Michael Higgins, Keith Powers, Alicia Sanz, Jake Borelli, Kid Ink, Yousef Erakat, Rebekah Graf, Anne Winters, Peter Gilroy, Patrick Davis",United States,2017-09-08,2017,7,99 min,Comedies,2017.0,9.0,99,min,0.030430154475105116
1,Apaches,No Info,"Alberto Ammann, Eloy Azorín, Verónica Echegui, Lucía Jiménez, Claudia Traisac",Spain,2017-09-08,2016,9,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",2017.0,9.0,1,Season,0.030430154475105116
0,Automata,Gabe Ibáñez,"Antonio Banderas, Dylan McDermott, Melanie Griffith, Birgitte Hjort Sørensen, Robert Forster, Christa Campbell, Tim McInnerny, Andy Nyman, David Ryall","Bulgaria, United States, Spain, Canada",2017-09-08,2014,6,110 min,"International Movies, Sci-Fi & Fantasy, Thrillers",2017.0,9.0,110,min,0.030430154475105116
0,Fabrizio Copano: Solo pienso en mi,"Rodrigo Toro, Francisco Schultz",Fabrizio Copano,Chile,2017-09-08,2017,9,60 min,Stand-Up Comedy,2017.0,9.0,60,min,0.030430154475105116
1,Fire Chasers,No Info,,United States,2017-09-08,2017,9,1 Season,"Docuseries, Science & Nature TV",2017.0,9.0,1,Season,0.030430154475105116
0,Good People,Henrik Ruben Genz,"James Franco, Kate Hudson, Tom Wilkinson, Omar Sy, Sam Spruell, Anna Friel, Thomas Arnold, Oliver Dimsdale, Diana Hardcastle, Michael Jibson, Diarmaid Murtagh","United States, United Kingdom, Denmark, Sweden",2017-09-08,2014,6,90 min,"Action & Adventure, Thrillers",2017.0,9.0,90,min,0.030430154475105116
